term	clusteroccurences	genomeoccurences	pvalue	correctedpvalue	oddsratio	module	invert
GO:0055114: oxidation-reduction process	41	564	1.6499554862459e-10	1.15496884037213e-07	0.393034577272039	turquoise	FALSE
GO:0005840: ribosome	0	126	2.39855333285494e-10	5.94841226548025e-08	0	turquoise	FALSE
IPR006170: Pheromone/general odorant binding protein	0	121	5.77161273043115e-10	3.73192479149678e-06	0	turquoise	FALSE
GO:0004674: protein serine/threonine kinase activity	24	41	9.73842711948667e-10	8.63798485498468e-07	7.30813451928483	turquoise	FALSE
IPR001849: Pleckstrin homology domain	34	73	1.33092361571788e-09	8.60575209923181e-06	4.52423400726416	turquoise	FALSE
IPR011011: Zinc finger, FYVE/PHD-type	39	91	1.71688101675998e-09	1.110135265437e-05	3.89599020190698	turquoise	FALSE
GO:0006412: translation	1	134	2.06674658215246e-09	1.44672260750672e-06	0.0382500410710322	turquoise	FALSE
IPR017986: WD40-repeat-containing domain	71	218	2.62135747523188e-09	1.69496974348493e-05	2.52301827592947	turquoise	FALSE
GO:0000166: nucleotide binding	76	241	3.41319144369759e-09	3.02750081055976e-06	2.40750647991263	turquoise	FALSE
GO:0003677: DNA binding	118	430	3.83457450925153e-09	3.40126758970611e-06	1.98800104457797	turquoise	FALSE
GO:0003723: RNA binding	52	145	9.91322273770709e-09	8.79302856834619e-06	2.91056279544106	turquoise	FALSE
IPR001680: WD40 repeat	62	189	2.34191994633029e-08	0.000151428543729717	2.5447552032078	turquoise	FALSE
IPR002557: Chitin binding domain	2	135	2.5432829404756e-08	0.000164448674931152	0.0765321581549643	turquoise	FALSE
GO:0006030: chitin metabolic process	2	135	2.5432829404756e-08	1.78029805833292e-05	0.0765321581549643	turquoise	FALSE
GO:0008061: chitin binding	2	135	2.5432829404756e-08	2.25589196820186e-05	0.0765321581549643	turquoise	FALSE
IPR001965: Zinc finger, PHD-type	26	53	3.0132093837208e-08	0.000194834118751387	4.98616404492506	turquoise	FALSE
GO:0007165: signal transduction	49	137	3.13093618301155e-08	2.19165532810809e-05	2.89618000466572	turquoise	FALSE
IPR000504: RNA recognition motif domain	56	167	3.7203507745538e-08	0.000240557881082649	2.62667658309694	turquoise	FALSE
GO:0016021: integral component of membrane	71	750	3.94185338821585e-08	9.77579640277531e-06	0.524022634158647	turquoise	FALSE
IPR000961: AGC-kinase, C-terminal	16	25	1.09867436780818e-07	0.000710402846224769	9.18036176540529	turquoise	FALSE
IPR019786: Zinc finger, PHD-type, conserved site	23	46	1.20452371876111e-07	0.000778845036550934	5.1733636206808	turquoise	FALSE
GO:0035556: intracellular signal transduction	37	95	1.37553747924411e-07	9.62876235470877e-05	3.30975088698873	turquoise	FALSE
IPR019775: WD40 repeat, conserved site	39	105	1.96612653810934e-07	0.0012712974195415	3.0663675600185	turquoise	FALSE
IPR019787: Zinc finger, PHD-finger	24	51	2.76106087936254e-07	0.00178530196459582	4.59903840215507	turquoise	FALSE
IPR004117: Olfactory receptor, insect	0	89	2.83992137220143e-07	0.00183629315926544	0	turquoise	FALSE
GO:0007608: sensory perception of smell	0	89	2.83992137220143e-07	0.0001987944960541	0	turquoise	FALSE
GO:0004984: olfactory receptor activity	0	89	2.83992137220143e-07	0.000251901025714267	0	turquoise	FALSE
IPR012677: Nucleotide-binding alpha-beta plait domain	54	168	4.46301976501679e-07	0.00288578858005986	2.46372418239582	turquoise	FALSE
IPR033116: Serine proteases, trypsin family, serine active site	6	163	5.95616433726379e-07	0.00385125586047477	0.194442441640628	turquoise	FALSE
IPR008936: Rho GTPase activation protein	17	31	1.00743843406622e-06	0.00651409691467218	6.27121090384553	turquoise	FALSE
IPR001452: SH3 domain	30	76	1.08016720480074e-06	0.00698436114624158	3.37740523863596	turquoise	FALSE
GO:0016020: membrane	65	664	1.20997026567343e-06	0.000300072625887011	0.545968253911116	turquoise	FALSE
GO:0005506: iron ion binding	12	220	1.28023712323494e-06	0.00113557032830939	0.293069132525986	turquoise	FALSE
IPR000198: Rho GTPase-activating protein domain	14	23	1.69360583983816e-06	0.0109508553603935	8.02625432344485	turquoise	FALSE
IPR017972: Cytochrome P450, conserved site	7	166	2.19080445074416e-06	0.0141657415785117	0.224048329185507	turquoise	FALSE
GO:0006355: regulation of transcription, DNA-templated	80	296	2.2524550041769e-06	0.00157671850292383	1.93145790441315	turquoise	FALSE
No InterPro entry	402	2986	2.48855676643443e-06	0.016091008051765	0.761996676628849	turquoise	FALSE
GO:0018024: histone-lysine N-methyltransferase activity	7	7	3.030129527249e-06	0.00268772489066986	Inf	turquoise	FALSE
IPR018200: Ubiquitin specific protease, conserved site	13	21	3.08193480944376e-06	0.0199277904778634	8.38204956827682	turquoise	FALSE
GO:0016491: oxidoreductase activity	22	305	3.13022042401912e-06	0.00277650551610496	0.39415938386685	turquoise	FALSE
IPR018359: Bromodomain, conserved site	9	11	3.21094623475141e-06	0.0207619783539026	23.1840619445893	turquoise	FALSE
IPR003616: Post-SET domain	8	9	3.79323982487953e-06	0.024527088707671	41.2191685000072	turquoise	FALSE
IPR001128: Cytochrome P450	9	179	5.55669042796219e-06	0.0359295603072035	0.26940455474828	turquoise	FALSE
GO:0008026: ATP-dependent helicase activity	12	19	5.57083308210955e-06	0.00494132894383117	8.83996515746665	turquoise	FALSE
IPR002219: Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	15	28	6.49589810363361e-06	0.0420024771380949	5.95491838909415	turquoise	FALSE
GO:0036459: thiol-dependent ubiquitinyl hydrolase activity	13	23	1.2534093649041e-05	0.0111177410666994	6.70535895709015	turquoise	FALSE
GO:0050909: sensory perception of taste	0	65	1.34339743037611e-05	0.00940378201263277	0	turquoise	FALSE
GO:0008536: Ran GTPase binding	10	15	1.76176018427557e-05	0.0156268128345243	10.3056685600744	turquoise	FALSE
GO:0016705: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	11	187	2.32767309299294e-05	0.0206464603348474	0.318147262089344	turquoise	FALSE
GO:0020037: heme binding	15	225	2.35961834070737e-05	0.0209298146820744	0.363214349694933	turquoise	FALSE
GO:0004386: helicase activity	10	16	4.00938643117157e-05	0.0355632576444918	8.58831365042213	turquoise	FALSE
GO:0016579: protein deubiquitination	13	26	7.02013586884212e-05	0.0491409510818948	5.15707264291323	turquoise	FALSE
GO:0005694: chromosome	7	9	8.02900647657062e-05	0.0199119360618951	18.0139149716219	turquoise	FALSE
GO:0005840: ribosome	16	126	5.66973500105854e-14	1.40609428026252e-11	16.8505482638997	turquoise	TRUE
GO:0006412: translation	16	134	1.51421381797615e-13	1.05994967258331e-10	15.7015479776234	turquoise	TRUE
GO:0003735: structural constituent of ribosome	16	134	1.51421381797615e-13	1.34310765654485e-10	15.7015479776234	turquoise	TRUE
GO:0005622: intracellular	14	233	4.74452068542125e-08	1.17664112998447e-05	7.25012210183205	turquoise	TRUE
No GO terms for biological process	75	10403	6.1547061615281e-05	0.0430829431306967	0.514917036964198	turquoise	TRUE
IPR001254: Serine proteases, trypsin domain	92	373	9.73953942058111e-21	6.29758618934775e-17	3.61390655748642	magenta	FALSE
IPR009003: Peptidase S1, PA clan	92	377	2.13046336067503e-20	1.37755760901247e-16	3.56225046032685	magenta	FALSE
GO:0004252: serine-type endopeptidase activity	94	391	2.45569287237573e-20	2.17819957779727e-17	3.49513867785194	magenta	FALSE
IPR015880: Zinc finger, C2H2-like	4	601	5.20743027260094e-19	3.36712441426377e-15	0.0676718044047046	magenta	FALSE
IPR013087: Zinc finger C2H2-type	2	531	1.52197489709913e-18	9.84108968464297e-15	0.0383440604988404	magenta	FALSE
IPR007087: Zinc finger, C2H2	6	638	3.11083039958588e-18	2.01146293637223e-14	0.0957832287406521	magenta	FALSE
IPR018114: Serine proteases, trypsin family, histidine active site	66	251	1.05523931307858e-16	6.8231773983661e-13	3.88541744112523	magenta	FALSE
IPR001314: Peptidase S1A, chymotrypsin family	74	309	3.74086843031719e-16	2.4188455270431e-12	3.43891080827905	magenta	FALSE
GO:0006508: proteolysis	112	590	1.10856664146261e-15	7.75996649023827e-13	2.59093687639201	magenta	FALSE
GO:0046872: metal ion binding	17	780	2.35436031473479e-14	2.08831759916976e-11	0.22446002335271	magenta	FALSE
IPR022700: Proteinase, regulatory CLIP domain	23	43	5.83769093477659e-14	3.77465095842654e-10	12.264989793951	magenta	FALSE
GO:0003676: nucleic acid binding	32	988	2.35054094438581e-12	2.08492981767021e-09	0.336165933234769	magenta	FALSE
IPR008978: HSP20-like chaperone	18	31	4.96253663631561e-12	3.20877618904167e-08	14.719148153014	magenta	FALSE
IPR023796: Serpin domain	16	26	2.24028204598707e-11	1.44856637093524e-07	16.9826885308191	magenta	FALSE
GO:0005634: nucleus	17	658	1.10846250635306e-10	2.74898701575559e-08	0.269566159284834	magenta	FALSE
IPR012934: Zinc finger, AD-type	2	322	1.58356296324482e-10	1.0239318120341e-06	0.0642905183247191	magenta	FALSE
IPR001436: Alpha crystallin/Heat shock protein	13	22	3.60826683329699e-09	2.33310533440983e-05	15.3026494275216	magenta	FALSE
IPR002068: Alpha crystallin/Hsp20 domain	13	22	3.60826683329699e-09	2.33310533440983e-05	15.3026494275216	magenta	FALSE
IPR001353: Proteasome, subunit alpha/beta	10	15	4.76977154112648e-08	0.000308413427849238	21.1464555395423	magenta	FALSE
GO:0051603: proteolysis involved in cellular protein catabolic process	10	15	4.76977154112648e-08	3.33884007878854e-05	21.1464555395423	magenta	FALSE
GO:0005839: proteasome core complex	10	15	4.76977154112648e-08	1.18290334219937e-05	21.1464555395423	magenta	FALSE
GO:0004298: threonine-type endopeptidase activity	10	15	4.76977154112648e-08	4.23078735697919e-05	21.1464555395423	magenta	FALSE
IPR023795: Serpin, conserved site	9	13	1.43069676265141e-07	0.000925088526730402	23.773494816438	magenta	FALSE
IPR013126: Heat shock protein 70 family	9	14	3.69545795163107e-07	0.00238948311152465	19.0248115395036	magenta	FALSE
IPR018181: Heat shock protein 70, conserved site	9	14	3.69545795163107e-07	0.00238948311152465	19.0248115395036	magenta	FALSE
IPR029047: Heat shock protein 70kD, peptide-binding domain	9	14	3.69545795163107e-07	0.00238948311152465	19.0248115395036	magenta	FALSE
IPR029048: Heat shock protein 70kD, C-terminal domain	9	14	3.69545795163107e-07	0.00238948311152465	19.0248115395036	magenta	FALSE
GO:0004175: endopeptidase activity	9	14	3.69545795163107e-07	0.000327787120309676	19.0248115395036	magenta	FALSE
GO:0008270: zinc ion binding	37	864	4.06084603430386e-07	0.000360197043242752	0.455319609434337	magenta	FALSE
IPR000618: Insect cuticle protein	3	248	6.00459729172328e-07	0.00388257260882827	0.126728976500216	magenta	FALSE
GO:0042302: structural constituent of cuticle	3	249	6.07153716268556e-07	0.000538545346330209	0.126204921508359	magenta	FALSE
IPR018502: Annexin repeat	6	7	2.76703261866197e-06	0.0178916329122683	63.2537897608792	magenta	FALSE
GO:0005544: calcium-dependent phospholipid binding	6	7	2.76703261866197e-06	0.00245435793275317	63.2537897608792	magenta	FALSE
IPR031756: Beta-1,3-glucan-binding protein, N-terminal	7	10	3.50380407961602e-06	0.0226555971787972	24.6194680647995	magenta	FALSE
IPR009057: Homeobox domain-like	0	141	5.86795349665214e-06	0.0379421873093527	0	magenta	FALSE
GO:0003677: DNA binding	14	430	7.92817478011868e-06	0.00703229102996527	0.346880254341285	magenta	FALSE
GO:0004672: protein kinase activity	5	243	2.75750888653076e-05	0.0244591038235278	0.217851026764925	magenta	FALSE
GO:0007034: vacuolar transport	6	9	2.84704073067306e-05	0.0199292851147114	21.0875234565405	magenta	FALSE
GO:0016272: prefoldin complex	6	9	2.84704073067306e-05	0.00706066101206919	21.0875234565405	magenta	FALSE
GO:0005737: cytoplasm	31	166	4.06749269328814e-05	0.0100873818793546	2.44462291247102	magenta	FALSE
GO:0016021: integral component of membrane	24	750	3.79171991501546e-06	0.000940346538923834	3.19632104358526	magenta	TRUE
IPR020846: Major facilitator superfamily domain	11	180	6.20009441392573e-06	0.0400898104804438	6.01950936259376	magenta	TRUE
No GO terms for biological process	270	10403	1.69397067163248e-12	1.18577947014274e-09	0.530333337945692	brown	FALSE
GO:0003824: catalytic activity	44	436	6.09321051808333e-11	5.40467772953991e-08	3.4494253181261	brown	FALSE
IPR010629: Insect allergen-related	10	19	1.12761347919125e-10	7.29114875645062e-07	32.6977842671234	brown	FALSE
GO:0005783: endoplasmic reticulum	10	25	3.32849752058907e-09	8.25467385106089e-07	19.6177389546149	brown	FALSE
IPR001747: Lipid transport protein, N-terminal	7	10	4.93021868142991e-09	3.18787939941258e-05	68.3874634070667	brown	FALSE
IPR011030: Vitellinogen, superhelical	7	10	4.93021868142991e-09	3.18787939941258e-05	68.3874634070667	brown	FALSE
IPR015816: Vitellinogen, beta-sheet N-terminal	7	10	4.93021868142991e-09	3.18787939941258e-05	68.3874634070667	brown	FALSE
IPR015819: Lipid transport protein, beta-sheet shell	7	10	4.93021868142991e-09	3.18787939941258e-05	68.3874634070667	brown	FALSE
GO:0003676: nucleic acid binding	7	988	3.8990673870641e-08	3.45847277232586e-05	0.195684433309724	brown	FALSE
No InterPro entry	54	2986	4.64485225967489e-08	0.000300336147110578	0.479350432515414	brown	FALSE
GO:0055114: oxidation-reduction process	45	564	6.30474785416639e-08	4.41332349791647e-05	2.64739850035995	brown	FALSE
GO:0006869: lipid transport	7	13	6.45796123093345e-08	4.52057286165341e-05	34.1248526502327	brown	FALSE
GO:0005319: lipid transporter activity	7	13	6.45796123093345e-08	5.72821161183797e-05	34.1248526502327	brown	FALSE
IPR015818: Vitellinogen, open beta-sheet, subdomain 2	5	6	2.39032175503029e-07	0.00154558204680259	146.036080035121	brown	FALSE
GO:0008152: metabolic process	29	303	3.77756107005344e-07	0.000264429274903741	3.17984442752018	brown	FALSE
IPR015255: Vitellinogen, open beta-sheet	5	8	2.10965284255243e-06	0.013641015279944	48.5842361886952	brown	FALSE
GO:0016853: isomerase activity	5	8	2.10965284255243e-06	0.00187126207134401	48.5842361886952	brown	FALSE
IPR001846: von Willebrand factor, type D domain	5	9	4.61600833715546e-06	0.0298471099080472	36.4413717679796	brown	FALSE
GO:0055085: transmembrane transport	27	312	6.4812496407885e-06	0.00453687474855195	2.83290179123431	brown	FALSE
GO:0005975: carbohydrate metabolic process	18	160	6.83670823661181e-06	0.00478569576562827	3.75931341280502	brown	FALSE
GO:0016021: integral component of membrane	48	750	1.52504042937001e-05	0.00378210026483762	2.07491419611193	brown	FALSE
GO:0006465: signal peptide processing	3	3	3.71425223122487e-05	0.0259997656185741	Inf	brown	FALSE
GO:0005787: signal peptidase complex	3	3	3.71425223122487e-05	0.00921134553343768	Inf	brown	FALSE
GO:0008250: oligosaccharyltransferase complex	3	3	3.71425223122487e-05	0.00921134553343768	Inf	brown	FALSE
GO:0004576: oligosaccharyl transferase activity	3	3	3.71425223122487e-05	0.0329454172909646	Inf	brown	FALSE
GO:0004611: phosphoenolpyruvate carboxykinase activity	3	3	3.71425223122487e-05	0.0329454172909646	Inf	brown	FALSE
GO:0004613: phosphoenolpyruvate carboxykinase (GTP) activity	3	3	3.71425223122487e-05	0.0329454172909646	Inf	brown	FALSE
GO:0017076: purine nucleotide binding	3	3	3.71425223122487e-05	0.0329454172909646	Inf	brown	FALSE
GO:0006685: sphingomyelin catabolic process	4	7	3.98676113814767e-05	0.0279073279670337	38.8131962351931	brown	FALSE
GO:0004767: sphingomyelin phosphodiesterase activity	4	7	3.98676113814767e-05	0.0353625712953698	38.8131962351931	brown	FALSE
GO:0005634: nucleus	6	658	8.32938771746139e-05	0.0206568815393042	0.257681522074857	brown	FALSE
GO:0003735: structural constituent of ribosome	34	134	1.90708637715683e-18	1.69158561653811e-15	8.59216799735657	darkgreen	FALSE
GO:0006412: translation	32	134	1.33484029047809e-16	9.34388203334663e-14	7.90152969586473	darkgreen	FALSE
GO:0005840: ribosome	29	126	1.02972940575983e-14	2.55372892628438e-12	7.49542316489232	darkgreen	FALSE
GO:0015986: ATP synthesis coupled proton transport	12	16	2.29984954114743e-14	1.6098946788032e-11	73.4030625734357	darkgreen	FALSE
GO:0005739: mitochondrion	15	30	7.76608937598315e-14	1.92599016524382e-11	24.6172342400004	darkgreen	FALSE
No InterPro entry	57	2986	4.59380699414444e-12	2.9703556024138e-08	0.41560737843888	darkgreen	FALSE
GO:0008137: NADH dehydrogenase (ubiquinone) activity	9	15	9.74446355790386e-10	8.64333917586072e-07	36.5753093044932	darkgreen	FALSE
GO:0004129: cytochrome-c oxidase activity	10	21	2.24882093472043e-09	1.99470416909702e-06	22.2060530069898	darkgreen	FALSE
GO:0005634: nucleus	3	658	1.00724686734319e-08	2.49797223101111e-06	0.106007417858238	darkgreen	FALSE
IPR013087: Zinc finger C2H2-type	1	531	1.22530443093681e-08	7.92281845043741e-05	0.0439177180498176	darkgreen	FALSE
IPR015880: Zinc finger, C2H2-like	2	601	1.29165294378003e-08	8.35182793448168e-05	0.0774320084049142	darkgreen	FALSE
IPR007087: Zinc finger, C2H2	3	638	2.13949035496276e-08	0.000138339446351892	0.109496906043067	darkgreen	FALSE
GO:0009055: electron carrier activity	12	41	3.98702797370715e-08	3.53649381267824e-05	10.1310137124591	darkgreen	FALSE
GO:0005515: protein binding	36	1919	4.89855441371891e-08	4.34501776496867e-05	0.427540906207758	darkgreen	FALSE
GO:0005743: mitochondrial inner membrane	8	18	1.88047505851637e-07	4.6635781451206e-05	19.4805976439292	darkgreen	FALSE
GO:0003676: nucleic acid binding	12	988	2.13602493033462e-07	0.000189465411320681	0.28232319366616	darkgreen	FALSE
GO:0046933: proton-transporting ATP synthase activity, rotational mechanism	6	9	2.97999196807373e-07	0.00026432528756814	48.5585834841936	darkgreen	FALSE
GO:0000276: mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	5	6	5.76656839040424e-07	0.000143010896082025	121.337305276084	darkgreen	FALSE
GO:0008270: zinc ion binding	10	864	6.67481958989681e-07	0.000592056497623847	0.270316314610346	darkgreen	FALSE
GO:0006614: SRP-dependent cotranslational protein targeting to membrane	6	10	7.19814058939682e-07	0.000503869841257777	36.4028115083851	darkgreen	FALSE
GO:0015078: hydrogen ion transmembrane transporter activity	7	18	3.36476200124008e-06	0.00298454389509995	15.4711262625608	darkgreen	FALSE
GO:0008312: 7S RNA binding	5	8	5.0334240703951e-06	0.00446464715044045	40.4425019048827	darkgreen	FALSE
IPR011053: Single hybrid motif	6	13	5.3061232901175e-06	0.0343093931938998	20.8090439913688	darkgreen	FALSE
IPR001254: Serine proteases, trypsin domain	1	373	6.06803020657448e-06	0.0392358833157106	0.0632466973691319	darkgreen	FALSE
IPR009003: Peptidase S1, PA clan	1	377	6.2275258391758e-06	0.0402671820761107	0.0625569192255575	darkgreen	FALSE
GO:0005622: intracellular	25	233	6.92379964303934e-06	0.00171710231147376	2.97127588875986	darkgreen	FALSE
GO:0006099: tricarboxylic acid cycle	6	14	8.97269902630413e-06	0.00628088931841289	18.2072025799703	darkgreen	FALSE
GO:0004812: aminoacyl-tRNA ligase activity	9	37	1.10085185665555e-05	0.00976455596853473	7.8342539668457	darkgreen	FALSE
GO:0008121: ubiquinol-cytochrome-c reductase activity	4	5	1.2138619350456e-05	0.0107669553638545	96.6677245012357	darkgreen	FALSE
GO:0016651: oxidoreductase activity, acting on NAD(P)H	4	5	1.2138619350456e-05	0.0107669553638545	96.6677245012357	darkgreen	FALSE
GO:0006508: proteolysis	6	590	2.20531539103726e-05	0.0154372077372608	0.240100508216531	darkgreen	FALSE
GO:0004252: serine-type endopeptidase activity	2	391	3.33089454445121e-05	0.0295450346092822	0.12098516518065	darkgreen	FALSE
GO:0051287: NAD binding	8	33	3.50913349967462e-05	0.0311260141421139	7.78852228821365	darkgreen	FALSE
GO:0003677: DNA binding	3	430	4.66250351218288e-05	0.0413564061530621	0.165165053500362	darkgreen	FALSE
GO:0016616: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	6	18	4.83703385561656e-05	0.0429044902993189	12.1365205948053	darkgreen	FALSE
GO:0006189: 'de novo' IMP biosynthetic process	3	3	6.31527038896572e-05	0.04420689272276	Inf	darkgreen	FALSE
GO:0005747: mitochondrial respiratory chain complex I	3	3	6.31527038896572e-05	0.015661870564635	Inf	darkgreen	FALSE
GO:0048500: signal recognition particle	4	7	7.96768824412045e-05	0.0197598668454187	32.2676672723641	darkgreen	FALSE
No GO terms for cellular component	460	12536	0.000105124506998424	0.0260708777356092	0.69239783370698	darkgreen	FALSE
GO:0005737: cytoplasm	18	166	0.000114424678102811	0.0283773201694971	2.98413700598113	darkgreen	FALSE
GO:0006412: translation	48	134	5.47467056086862e-40	3.83226939260803e-37	21.0098895553	darkred	FALSE
GO:0003735: structural constituent of ribosome	48	134	5.47467056086862e-40	4.85603278749047e-37	21.0098895553	darkred	FALSE
GO:0005840: ribosome	45	126	1.83922704087466e-37	4.56128306136916e-35	20.7658302442152	darkred	FALSE
GO:0005622: intracellular	39	233	3.09487882367598e-19	7.67529948271643e-17	7.35512817724589	darkred	FALSE
GO:0015935: small ribosomal subunit	8	12	1.92632808317315e-10	4.77729364626941e-08	68.7999500753896	darkred	FALSE
No GO terms for biological process	237	10403	1.75003661988671e-09	1.2250256339207e-06	0.558752306289881	darkred	FALSE
No GO terms for cellular component	314	12536	3.42600336634617e-07	8.4964883485385e-05	0.576878389036446	darkred	FALSE
GO:0055085: transmembrane transport	27	312	3.51691922131063e-07	0.000246184345491744	3.34823373042719	darkred	FALSE
GO:0015934: large ribosomal subunit	4	4	6.67731966965864e-07	0.000165597527807534	Inf	darkred	FALSE
IPR008991: Translation protein SH3-like domain	5	11	7.59991636486282e-06	0.049141059215203	28.4921077065924	darkred	FALSE
GO:0008270: zinc ion binding	6	864	7.7472664018498e-06	0.00687182529844077	0.226619689483714	darkred	FALSE
GO:0005634: nucleus	3	658	1.14823800381151e-05	0.00284763024945254	0.149504741083487	darkred	FALSE
GO:0055114: oxidation-reduction process	35	564	2.51115796463163e-05	0.0175781057524214	2.34462561707982	darkred	FALSE
No GO terms for molecular function	116	6951	2.16603318720966e-06	0.00192127143705497	2.01151245862115	darkred	TRUE
GO:0005852: eukaryotic translation initiation factor 3 complex	6	15	1.2956111774581e-10	3.21311572009609e-08	125.449799506595	paleturquoise	FALSE
GO:0003743: translation initiation factor activity	6	24	3.34550270451542e-09	2.96746089890518e-06	62.8440559882906	paleturquoise	FALSE
GO:0005506: iron ion binding	9	220	4.05342566660139e-06	0.00359538856627543	8.25877348154114	paleturquoise	FALSE
IPR001128: Cytochrome P450	8	179	7.51486618761601e-06	0.0485911247691251	8.96903387710781	paleturquoise	FALSE
