term	clusteroccurences	genomeoccurences	pvalue	correctedpvalue	oddsratio	module	invert
IPR004296: DUF236 repeat	6	6	3.21579215342598e-06	0.0177125831810703	Inf	blue	FALSE
GO:0006355: regulation of transcription, DNA-templated	9	246	4.29820284081681e-06	0.00255313248744518	0.269577574829434	blue	FALSE
GO:0003677: DNA binding	13	286	1.35389502773165e-05	0.0103166801113152	0.337785666743688	blue	FALSE
GO:0005524: ATP binding	108	605	3.06683500879905e-05	0.0233692827670488	1.61454679680347	blue	FALSE
GO:0016787: hydrolase activity	27	98	3.11526590934253e-05	0.0237383262291901	2.77800083937684	blue	FALSE
GO:0016491: oxidoreductase activity	2	122	3.61123038234417e-05	0.0275175755134626	0.119095650346572	blue	FALSE
No InterPro entry	12	3947	1.63286582090742e-06	0.00899382494155807	0.274032298184998	blue	TRUE
No InterPro entry	175	3947	4.42546357145418e-44	2.43754533515696e-40	0.342503140604992	brown	FALSE
GO:0005515: protein binding	226	1268	5.00817097166223e-23	3.81622628040662e-20	2.35609325963765	brown	FALSE
No GO terms for molecular function	479	6656	7.8676998125196e-21	5.99518725713994e-18	0.552934041830038	brown	FALSE
IPR016024: Armadillo-type fold	52	165	1.32341359200146e-15	7.28936206474404e-12	4.58358495319493	brown	FALSE
GO:0005488: binding	52	165	1.32341359200146e-15	1.00844115710511e-12	4.58358495319493	brown	FALSE
IPR011989: Armadillo-like helical	32	112	6.23779318139541e-09	3.43577648431259e-05	3.92259776958462	brown	FALSE
IPR013083: Zinc finger, RING/FYVE/PHD-type	41	173	2.06256340478815e-08	0.000113605992335731	3.05660014322	brown	FALSE
GO:0006355: regulation of transcription, DNA-templated	49	246	3.86139951673514e-07	0.000229367131294067	2.45121762121263	brown	FALSE
IPR001650: Helicase, C-terminal	22	73	5.26910393176542e-07	0.00290222244561639	4.20377053389178	brown	FALSE
IPR014001: Helicase superfamily 1/2, ATP-binding domain	22	74	6.83876845046181e-07	0.00376679366251436	4.12262447229869	brown	FALSE
IPR027417: P-loop containing nucleoside triphosphate hydrolase	71	422	1.06751827914984e-06	0.00587989068155732	2.00565537517588	brown	FALSE
IPR000330: SNF2-related, N-terminal domain	10	18	1.15870680832611e-06	0.00638215710026021	12.0940861935982	brown	FALSE
IPR017986: WD40-repeat-containing domain	34	154	2.10077920715833e-06	0.0115710918730281	2.77362800392823	brown	FALSE
IPR001487: Bromodomain	9	16	3.55602549639336e-06	0.0195865884341346	12.429482736948	brown	FALSE
IPR015943: WD40/YVTN repeat-like-containing domain	36	175	5.90914244905034e-06	0.0325475566093693	2.53554831663834	brown	FALSE
IPR011011: Zinc finger, FYVE/PHD-type	18	60	6.06642819463165e-06	0.0334138864960311	4.1648352014437	brown	FALSE
GO:0003677: DNA binding	51	286	7.77134815530816e-06	0.00592176729434482	2.13504773872283	brown	FALSE
GO:0008270: zinc ion binding	59	364	3.44532378452643e-05	0.0262533672380914	1.90477632932983	brown	FALSE
GO:0005634: nucleus	41	224	3.88854469128132e-05	0.00906030913068548	2.19433334831854	brown	FALSE
No GO terms for cellular component	61	9879	1.82290192457766e-07	4.24736148426595e-05	0.316255234937762	brown	TRUE
IPR002379: V-ATPase proteolipid subunit C-like domain	3	4	2.24848864873867e-06	0.0123846754772526	363.303859893402	brown	TRUE
GO:0033177: proton-transporting two-sector ATPase complex, proton-transporting domain	3	4	2.24848864873867e-06	0.00052389785515611	363.303859893402	brown	TRUE
GO:0015991: ATP hydrolysis coupled proton transport	4	15	5.82803766186409e-06	0.00346185437114727	44.7987835584606	brown	TRUE
GO:0015078: hydrogen ion transmembrane transporter activity	4	16	7.72097702198677e-06	0.00588338449075392	41.0732140255587	brown	TRUE
GO:0007186: G-protein coupled receptor signaling pathway	26	100	2.96627639038863e-06	0.00176196817589085	3.25087621423287	yellow	FALSE
IPR017452: GPCR, rhodopsin-like, 7TM	24	91	5.40650067172217e-06	0.0297790056998457	3.31072307993536	yellow	FALSE
IPR001356: Homeobox domain	20	68	5.42889729598057e-06	0.029902366306261	3.84412117330701	yellow	FALSE
GO:0006811: ion transport	24	93	8.1226236391669e-06	0.00482483844166514	3.21425403661835	yellow	FALSE
GO:0003677: DNA binding	52	286	1.2814089137976e-05	0.00976433592313771	2.07225966674076	yellow	FALSE
No InterPro entry	76	3947	5.7009591782717e-55	3.14008831539205e-51	0.204312805208782	midnightblue	FALSE
No GO terms for molecular function	262	6656	4.86061311013433e-37	3.70378718992236e-34	0.378915732893941	midnightblue	FALSE
GO:0003676: nucleic acid binding	92	501	1.75124792529091e-20	1.33445091907167e-17	3.54544676145389	midnightblue	FALSE
IPR000504: RNA recognition motif domain	43	130	6.25728708452512e-20	3.44651372615644e-16	7.48193102107246	midnightblue	FALSE
IPR012677: Nucleotide-binding alpha-beta plait domain	42	133	1.21701269534301e-18	6.7033059259493e-15	6.97528169125939	midnightblue	FALSE
GO:0000166: nucleotide binding	51	200	7.205927312872e-18	5.49091661240846e-15	5.21046957595626	midnightblue	FALSE
IPR015943: WD40/YVTN repeat-like-containing domain	40	175	1.33598320398879e-12	7.35859548757026e-09	4.4483200729578	midnightblue	FALSE
IPR001680: WD40 repeat	34	134	2.90004606130253e-12	1.59734537056543e-08	5.07838815538591	midnightblue	FALSE
GO:0005524: ATP binding	86	605	3.4023959946232e-12	2.59262574790288e-09	2.56239211949115	midnightblue	FALSE
IPR017986: WD40-repeat-containing domain	36	154	8.9638695772865e-12	4.9372993631694e-08	4.56229032634337	midnightblue	FALSE
GO:0005515: protein binding	138	1268	3.73508586203097e-10	2.8461354268676e-07	1.92602796263616	midnightblue	FALSE
No GO terms for biological process	484	8593	2.60038214956675e-09	1.54462699684265e-06	0.62265444970051	midnightblue	FALSE
IPR011545: DEAD/DEAH box helicase domain	17	49	4.8873336973369e-09	2.69194340049316e-05	7.80240713929993	midnightblue	FALSE
IPR014001: Helicase superfamily 1/2, ATP-binding domain	21	74	4.93777005129068e-09	2.71972374425091e-05	5.84062310088591	midnightblue	FALSE
IPR027417: P-loop containing nucleoside triphosphate hydrolase	59	422	1.60657975148856e-08	8.84904127119899e-05	2.45344253406498	midnightblue	FALSE
IPR001650: Helicase, C-terminal	20	73	2.22399828369423e-08	0.000122497825465878	5.55446695557748	midnightblue	FALSE
GO:0006396: RNA processing	13	31	2.26148955928786e-08	1.34332479821699e-05	10.5647068013502	midnightblue	FALSE
GO:0004386: helicase activity	8	12	1.18871006819609e-07	9.05797071965421e-05	29.1038153733762	midnightblue	FALSE
IPR016024: Armadillo-type fold	30	165	2.26054308164217e-07	0.00124510712936851	3.29127942921327	midnightblue	FALSE
GO:0005488: binding	30	165	2.26054308164217e-07	0.000172253382821133	3.29127942921327	midnightblue	FALSE
IPR002464: DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	8	13	2.91460517804749e-07	0.00160536453206856	23.2728914799831	midnightblue	FALSE
GO:0005634: nucleus	36	224	3.56611145585612e-07	8.30903969214476e-05	2.84556600632942	midnightblue	FALSE
IPR007502: Helicase-associated domain	7	11	1.23615404517978e-06	0.00680873648085023	25.4096193852921	midnightblue	FALSE
IPR011709: Domain of unknown function DUF1605	7	11	1.23615404517978e-06	0.00680873648085023	25.4096193852921	midnightblue	FALSE
IPR019775: WD40 repeat, conserved site	17	69	1.31099520390173e-06	0.00722096158309073	4.79394179621044	midnightblue	FALSE
IPR000629: ATP-dependent RNA helicase DEAD-box, conserved site	9	21	2.81594183135344e-06	0.0155102076070947	10.9190090104643	midnightblue	FALSE
GO:0008026: ATP-dependent helicase activity	8	19	1.20504444522273e-05	0.0091824386725972	10.5753707826703	midnightblue	FALSE
GO:0003677: DNA binding	37	286	4.90801918197156e-05	0.0373991061666233	2.19886081084774	midnightblue	FALSE
GO:0008299: isoprenoid biosynthetic process	5	8	5.39376585440521e-05	0.032038969175167	24.1658855821165	midnightblue	FALSE
GO:0008641: small protein activating enzyme activity	5	8	5.39376585440521e-05	0.0411004958105677	24.1658855821165	midnightblue	FALSE
GO:0003723: RNA binding	22	136	6.02138059475415e-05	0.0458829201320266	2.83313501638861	midnightblue	FALSE
GO:0009055: electron carrier activity	7	25	8.57452873479643e-07	0.000653379089591488	17.4901334927628	midnightblue	TRUE
No InterPro entry	41	3947	6.28336794334685e-60	3.46087906319544e-56	0.132548389549998	lightcyan	FALSE
GO:0003676: nucleic acid binding	126	501	1.77515111110926e-53	1.35266514666526e-50	7.3665620344768	lightcyan	FALSE
IPR013087: Zinc finger C2H2-type	76	167	4.08636601292821e-53	2.25077039992086e-49	17.0653119620317	lightcyan	FALSE
No GO terms for molecular function	176	6656	7.38927913813839e-47	5.63063070326145e-44	0.289944974952839	lightcyan	FALSE
IPR015880: Zinc finger, C2H2-like	77	204	1.7975051386099e-46	9.90065830346333e-43	12.3666159768033	lightcyan	FALSE
IPR007087: Zinc finger, C2H2	77	233	1.3474244969783e-41	7.42161412935648e-38	10.0429157264346	lightcyan	FALSE
GO:0003735: structural constituent of ribosome	56	117	9.78357040337861e-41	7.4550806473745e-38	18.1427114838018	lightcyan	FALSE
GO:0006412: translation	55	115	5.36506270620473e-40	3.18684724748561e-37	18.0857305609931	lightcyan	FALSE
GO:0005840: ribosome	53	110	8.81214890933284e-39	2.05323069587455e-36	18.285315617655	lightcyan	FALSE
GO:0046872: metal ion binding	82	336	2.04791775079013e-33	1.56051332610208e-30	6.57127908566199	lightcyan	FALSE
No GO terms for cellular component	405	9879	9.71684351151782e-30	2.26402453818365e-27	0.347571092648399	lightcyan	FALSE
GO:0005622: intracellular	49	144	2.38977783566259e-27	5.56818235709383e-25	10.0358359624396	lightcyan	FALSE
No GO terms for biological process	335	8593	4.08440435749579e-24	2.4261361883525e-21	0.421586904815533	lightcyan	FALSE
GO:0005737: cytoplasm	44	146	3.12743797662232e-22	7.28693048553001e-20	8.31679488711814	lightcyan	FALSE
GO:0000166: nucleotide binding	46	200	5.88916312837589e-18	4.48754230382243e-15	5.75198948309589	lightcyan	FALSE
GO:0003723: RNA binding	34	136	9.85590158558463e-15	7.51019700821549e-12	6.3168053636953	lightcyan	FALSE
IPR001353: Proteasome, subunit alpha/beta	12	14	3.19746331516999e-14	1.76116279399563e-10	110.502067282173	lightcyan	FALSE
GO:0051603: proteolysis involved in cellular protein catabolic process	12	14	3.19746331516999e-14	1.89929320921097e-11	110.502067282173	lightcyan	FALSE
GO:0005839: proteasome core complex	12	14	3.19746331516999e-14	7.45008952434608e-12	110.502067282173	lightcyan	FALSE
GO:0004298: threonine-type endopeptidase activity	12	14	3.19746331516999e-14	2.43646704615953e-11	110.502067282173	lightcyan	FALSE
GO:0004812: aminoacyl-tRNA ligase activity	18	37	4.8405446613246e-14	3.68849503192935e-11	17.5960156467415	lightcyan	FALSE
GO:0006418: tRNA aminoacylation for protein translation	17	35	2.56230850496321e-13	1.52201125194815e-10	17.5145109050906	lightcyan	FALSE
IPR027413: GroEL-like equatorial domain	9	9	2.81875187520153e-12	1.552568532861e-08	Inf	lightcyan	FALSE
GO:0004175: endopeptidase activity	10	12	8.73378739435069e-12	6.65514599449523e-09	91.8375372715609	lightcyan	FALSE
IPR002423: Chaperonin Cpn60/TCP-1 family	9	10	2.68764492258702e-11	1.48035482336093e-07	164.896352109261	lightcyan	FALSE
IPR027409: GroEL-like apical domain	9	10	2.68764492258702e-11	1.48035482336093e-07	164.896352109261	lightcyan	FALSE
IPR002194: Chaperonin TCP-1, conserved site	8	8	5.44575505024663e-11	2.99952188167584e-07	Inf	lightcyan	FALSE
IPR017998: Chaperone tailless complex polypeptide 1 (TCP-1)	8	8	5.44575505024663e-11	2.99952188167584e-07	Inf	lightcyan	FALSE
IPR029055: Nucleophile aminohydrolases, N-terminal	12	21	7.34997260338728e-11	4.04836490994571e-07	24.5451748698874	lightcyan	FALSE
IPR006195: Aminoacyl-tRNA synthetase, class II	12	22	1.54037036802554e-10	8.48435998708467e-07	22.0973012795804	lightcyan	FALSE
IPR027410: TCP-1-like chaperonin intermediate domain	7	7	1.05048082760784e-09	5.78604839846398e-06	Inf	lightcyan	FALSE
GO:0051082: unfolded protein binding	12	26	1.8947456735919e-09	1.44379620327703e-06	15.7739673488192	lightcyan	FALSE
IPR012340: Nucleic acid-binding, OB-fold	17	58	3.59177455152502e-09	1.97834942297998e-05	7.67911655230596	lightcyan	FALSE
IPR012677: Nucleotide-binding alpha-beta plait domain	26	133	4.51000648087155e-09	2.48411156966405e-05	4.5413755261593	lightcyan	FALSE
GO:0005852: eukaryotic translation initiation factor 3 complex	8	12	2.23309100845056e-08	5.2031020496898e-06	36.5880652314797	lightcyan	FALSE
GO:0003743: translation initiation factor activity	10	22	5.29839004246351e-08	4.03737321235719e-05	15.2889441129008	lightcyan	FALSE
GO:0015935: small ribosomal subunit	8	13	5.53947581786106e-08	1.29069786556163e-05	29.2630025339263	lightcyan	FALSE
GO:0005524: ATP binding	64	605	5.62638326871259e-08	4.28730405075899e-05	2.26998481528512	lightcyan	FALSE
IPR008991: Translation protein SH3-like domain	7	11	2.87968055569106e-07	0.00158612805007464	31.9641253229962	lightcyan	FALSE
GO:0006457: protein folding	13	45	3.05960692813639e-07	0.000181740651531302	7.48035240786092	lightcyan	FALSE
IPR023333: Proteasome B-type subunit	5	5	3.89080169053197e-07	0.00214305357114501	Inf	lightcyan	FALSE
IPR014722: Ribosomal protein L2 domain 2	6	8	5.17228612224667e-07	0.00284889519613347	54.6727057718823	lightcyan	FALSE
IPR000504: RNA recognition motif domain	22	130	9.63118757583657e-07	0.00530485811677078	3.78114365484881	lightcyan	FALSE
IPR004154: Anticodon-binding	6	9	1.48275501834453e-06	0.00816701464104167	36.4724131630455	lightcyan	FALSE
GO:0015934: large ribosomal subunit	5	6	2.2333188565711e-06	0.000520363293581066	91.0977486417031	lightcyan	FALSE
IPR001163: LSM domain, eukaryotic/archaea-type	8	19	2.45519576877782e-06	0.0135232182944282	13.3013421471614	lightcyan	FALSE
IPR004365: OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	6	10	3.54236666869013e-06	0.0195113556111452	27.3415149015231	lightcyan	FALSE
IPR009000: Translation protein, beta-barrel domain	9	26	3.93056644074465e-06	0.0216495599556215	9.69532279216619	lightcyan	FALSE
IPR000717: Proteasome component (PCI) domain	7	15	4.66715219871888e-06	0.0257066743105436	15.9798526887997	lightcyan	FALSE
IPR004364: Aminoacyl-tRNA synthetase, class II (D/K/N)	6	11	7.44764500443536e-06	0.04102162868443	21.894103081612	lightcyan	FALSE
IPR012678: Ribosomal protein L23/L15e core domain	4	4	7.47071760579129e-06	0.0411487125726984	Inf	lightcyan	FALSE
IPR016050: Proteasome beta-type subunit, conserved site	4	4	7.47071760579129e-06	0.0411487125726984	Inf	lightcyan	FALSE
IPR000426: Proteasome alpha-subunit, N-terminal domain	5	7	7.47830565829462e-06	0.0411905075658868	45.5437263160249	lightcyan	FALSE
IPR023332: Proteasome alpha-type subunit	5	7	7.47830565829462e-06	0.0411905075658868	45.5437263160249	lightcyan	FALSE
GO:0019773: proteasome core complex, alpha-subunit complex	5	7	7.47830565829462e-06	0.00174244521838265	45.5437263160249	lightcyan	FALSE
IPR010920: LSM domain	8	22	9.02726320794367e-06	0.0497221657493537	10.4499501993121	lightcyan	FALSE
GO:0000387: spliceosomal snRNP assembly	5	9	4.10767828809946e-05	0.0243996090313108	22.7605471772098	lightcyan	FALSE
GO:0042254: ribosome biogenesis	6	15	6.73259505725597e-05	0.0399916146401005	12.1597267938614	lightcyan	FALSE
GO:0006811: ion transport	18	93	2.64932486655379e-07	0.000157369897073295	4.98413798202384	green	FALSE
GO:0016020: membrane	43	404	4.86653060763178e-07	0.00011339016315782	2.52810886695831	green	FALSE
GO:0003676: nucleic acid binding	4	501	7.6081077135706e-07	0.00057973780777408	0.156852014427244	green	FALSE
No InterPro entry	135	3947	1.99391692200196e-06	0.0109824944063868	0.626348639093988	green	FALSE
IPR025661: Cysteine peptidase, asparagine active site	7	15	2.28555496104699e-06	0.0125888367254468	17.9112384524974	green	FALSE
GO:0016021: integral component of membrane	50	535	3.03465202077939e-06	0.000707073920841598	2.19307562918281	green	FALSE
No GO terms for molecular function	263	6656	1.19643336764498e-05	0.00911682226145475	0.683354527587312	green	FALSE
GO:0005509: calcium ion binding	19	134	1.59257678053993e-05	0.0121354350677143	3.42570778896067	green	FALSE
GO:0005216: ion channel activity	11	50	1.59834654998356e-05	0.0121794007108747	5.8009963198393	green	FALSE
GO:0006508: proteolysis	20	148	1.97709929286995e-05	0.0117439697996475	3.24205793796075	green	FALSE
No GO terms for biological process	360	8593	2.29363240867053e-05	0.0136241765075029	0.675796846087925	green	FALSE
GO:0006108: malate metabolic process	4	5	2.34136047831719e-05	0.0139076812412041	81.2842371768958	green	FALSE
GO:0006810: transport	21	167	3.71515490373574e-05	0.0220680201281903	2.98526404818478	green	FALSE
GO:0055114: oxidation-reduction process	23	196	4.87362097021257e-05	0.0289493085630627	2.76295372134172	green	FALSE
GO:0006099: tricarboxylic acid cycle	5	11	8.28887956769452e-05	0.0492359446321054	17.0040988632328	green	FALSE
GO:0016020: membrane	39	404	3.62996633504967e-09	8.45782156066573e-07	3.25276415665682	greenyellow	FALSE
IPR013766: Thioredoxin domain	9	29	3.04373730265035e-07	0.00167649050629981	13.0429509622821	greenyellow	FALSE
IPR017937: Thioredoxin, conserved site	6	14	3.54887349561036e-06	0.0195471952138219	21.5908087272425	greenyellow	FALSE
IPR012336: Thioredoxin-like fold	12	73	5.70987979147279e-06	0.0314500178914321	5.72673789235087	greenyellow	FALSE
IPR013783: Immunoglobulin-like fold	14	100	6.78570735507294e-06	0.0373756761117418	4.75309986024878	greenyellow	FALSE
GO:0045454: cell redox homeostasis	9	42	9.15170563684744e-06	0.00543611314828738	7.89901125457165	greenyellow	FALSE
No GO terms for cellular component	307	9879	0.00017057084235372	0.0397430062684168	0.626784724129686	greenyellow	FALSE
IPR006150: Cysteine-rich repeat	8	19	4.30387346898069e-08	0.000237057350671456	23.2836468224865	pink	FALSE
No GO terms for biological process	225	8593	3.19852920904698e-06	0.00189992635017391	0.594428511874894	pink	FALSE
GO:0006457: protein folding	9	45	7.67243315974405e-06	0.00455742529688797	8.01458487988757	pink	FALSE
No InterPro entry	83	3947	7.8425855706927e-06	0.0431969613233754	0.578475320999894	pink	FALSE
GO:0046933: proton-transporting ATP synthase activity, rotational mechanism	4	6	1.2781659298553e-05	0.00973962438549739	63.2580030091498	pink	FALSE
GO:0005576: extracellular region	8	37	1.35020187242913e-05	0.00314597036275987	8.82314679098932	pink	FALSE
No GO terms for cellular component	273	9879	1.65335372506394e-05	0.00385231417939898	0.574233476649498	pink	FALSE
GO:0008237: metallopeptidase activity	9	54	3.60294045239166e-05	0.0274544062472244	6.40646842188913	pink	FALSE
GO:0045261: proton-transporting ATP synthase complex, catalytic core F(1)	3	4	0.00011420480331173	0.0266097191716331	94.9677723153261	pink	FALSE
IPR003609: PAN/Apple domain	10	20	8.10675642917439e-11	4.46520144118925e-07	32.8389484018524	magenta	FALSE
IPR001507: Zona pellucida domain	12	40	1.29372910026114e-09	7.12585988423836e-06	14.1474087203017	magenta	FALSE
IPR012674: Calycin	6	9	5.7667210507845e-08	0.00031763099547721	64.9141439770391	magenta	FALSE
IPR008160: Collagen triple helix repeat	14	77	6.33251786475891e-08	0.000348795083990921	7.35693324064999	magenta	FALSE
IPR011038: Calycin-like	7	17	3.30533297528056e-07	0.00182057740278453	22.8085762225138	magenta	FALSE
IPR002486: Nematode cuticle collagen, N-terminal	10	49	1.64555915335291e-06	0.00906373981666783	8.410737869474	magenta	FALSE
GO:0042302: structural constituent of cuticle	10	49	1.64555915335291e-06	0.00125391607485492	8.410737869474	magenta	FALSE
IPR024731: EGF domain	4	5	4.04322339372099e-06	0.0222700744526152	129.141475353289	magenta	FALSE
GO:0005125: cytokine activity	3	3	2.75734204644438e-05	0.0210109463939062	Inf	magenta	FALSE
GO:0005509: calcium ion binding	14	134	5.40242009351669e-05	0.0411664411125972	3.84495252220869	magenta	FALSE
IPR002544: FMRFamide-related peptide-like	4	7	6.7503086399848e-06	0.0371806999890363	61.9497401751968	tan	FALSE
GO:0007218: neuropeptide signaling pathway	4	8	1.32740522383188e-05	0.00788478702956137	46.4726547573891	tan	FALSE
No GO terms for molecular function	174	6656	3.84982383206983e-05	0.0293356576003721	1.73829474895737	tan	FALSE
GO:0005840: ribosome	10	110	3.47190172833952e-06	0.000808953102703108	7.32854117235802	salmon	FALSE
GO:0003735: structural constituent of ribosome	10	117	6.06456599807117e-06	0.00462119929053023	6.84353288972106	salmon	FALSE
GO:0006412: translation	9	115	3.6283800558265e-05	0.0215525775316094	6.17961550455729	salmon	FALSE
GO:0005622: intracellular	10	144	3.75896585963171e-05	0.00875839045294188	5.45297873540483	salmon	FALSE
No InterPro entry	2	3947	2.22698246952181e-12	1.22662194421261e-08	0.0483656539782149	salmon	TRUE
GO:0005615: extracellular space	8	30	9.40198554507384e-08	2.1906626320022e-05	18.3068873971508	cyan	FALSE
IPR001534: Transthyretin-like	7	28	9.96686105289517e-07	0.00548974706793466	16.7127644754857	cyan	FALSE
IPR001079: Galectin, carbohydrate recognition domain	4	7	8.83657539763863e-07	0.00486718572901936	104.945656153562	grey60	FALSE
GO:0006096: glycolytic process	5	16	1.26657851123471e-06	0.000752347635673418	36.0716577799455	grey60	FALSE
GO:0005581: collagen trimer	2	2	0.000163435797580863	0.0380805408363411	Inf	grey60	FALSE
GO:0016021: integral component of membrane	18	535	0.000168193351330535	0.0391890508600147	2.90490205484452	grey60	FALSE
IPR002486: Nematode cuticle collagen, N-terminal	17	49	2.5846020269604e-26	1.42359879644979e-22	109.220752034475	lightyellow	FALSE
GO:0042302: structural constituent of cuticle	17	49	2.5846020269604e-26	1.96946674454382e-23	109.220752034475	lightyellow	FALSE
IPR008160: Collagen triple helix repeat	18	77	2.77898734372097e-24	1.53066622892151e-20	63.6355025122102	lightyellow	FALSE
